text,insult,threat,identity_hate,gender,religion,ethnicity
You're not welcome in our country.,0,0,0,0,0,1
People from your religion are evil.,0,0,0,0,1,0
heretic,0,0,0,0,1,0
You're not one of us. Real men don't cry like that. stab,0,1,1,1,0,0
Real men don't cry like that.,0,0,0,1,0,0
"terrorist Just wait, I’ll come after you.",0,1,0,0,0,1
People like you shouldn't even exist. He's acting like such a sissy.,0,0,1,1,0,0
sunshine,0,0,0,0,0,0
Why are you even talking? You're a joke. sissy infidel,1,0,1,1,1,0
He's a great teammate and always helps. infidel Why are you even talking? You're a joke.,1,0,1,0,1,0
idiot You're not welcome in our country. choke,1,1,0,0,0,1
People of your kind are always like this. hurt bitch,0,1,0,1,0,1
infidel Women can't do anything right.,0,0,1,1,1,0
You're not welcome in our country. People from your religion are evil. He's a great teammate and always helps.,0,0,0,0,1,1
Your skin color says it all.,0,0,0,0,0,1
Go back to where you came from. fool,1,0,0,0,0,1
You're a typical [ethnicity] stereotype. You're the worst kind of human. People from your religion are evil.,0,0,1,0,1,1
Why are you even talking? You're a joke. You're a disgrace to your community.,1,0,1,0,0,0
You're not one of us. People of your kind are always like this.,0,0,1,0,0,1
friend You're not welcome in our country. Real men don't cry like that.,0,0,0,1,0,1
People from your religion are evil. hurt She should know her place.,0,1,0,1,1,0
vermin,0,0,1,0,0,0
Nobody wants you around because you're useless.,1,0,0,0,0,0
You're going to get hurt real bad.,0,1,0,0,0,0
Your god isn't real.,0,0,0,0,1,0
friend infidel You're not one of us.,0,0,1,0,1,0
Your existence is a stain on society.,0,0,1,0,0,0
scum foreigner friend,0,0,1,0,0,1
Women can't do anything right. The weather is so pleasant.,0,0,0,1,0,0
I'll make sure you regret saying that. He's a great teammate and always helps.,0,1,0,0,0,0
What a beautiful sunset it was today. Your god isn't real. Real men don't cry like that.,0,0,0,1,1,0
Real men don't cry like that. burn,0,1,0,1,0,0
Women can't do anything right. Hope you're having a great day!,0,0,0,1,0,0
Hope you're having a great day! You're not safe anymore.,0,1,0,0,0,0
foreigner She's doing really well in school. You're not one of us.,0,0,1,0,0,1
People from your religion are evil. moron You're going to get hurt real bad.,1,1,0,0,1,0
You're a disgrace to your community.,0,0,1,0,0,0
