text,length,word_count,has_emoji,all_caps,insult,threat,identity_hate,gender,religion,ethnicity
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
cultist Religious terrorists,28,3,0,0,0,0,0,0,1,0
immigrant trash Go back to your country,39,7,0,0,0,0,0,0,0,1
immigrant trash Go back to your country,39,7,0,0,0,0,0,0,0,1
Make me a sandwich,18,4,0,0,0,0,0,1,0,0
clown 💩,7,2,1,0,1,0,0,0,0,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
subhuman,8,1,0,0,0,0,1,0,0,0
I'll ruin your life Sleep with one eye open,43,9,0,0,0,1,0,0,0,0
Puppies are adorable,20,3,0,0,0,0,0,0,0,0
subhuman Go ba!k to where you came from,39,8,0,0,0,0,1,0,0,0
vermin Go back to where you came from,37,8,0,0,0,0,1,0,0,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
Religious terrorists 🖕,22,3,1,0,0,0,0,0,1,0
heretic,7,1,0,0,0,0,0,0,1,0
vermin 🤡,8,2,1,0,0,0,1,0,0,0
Puppies are adorable,20,3,0,0,0,0,0,0,0,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
failure,7,1,0,0,1,0,0,0,0,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
worthless,9,1,0,0,1,0,0,0,0,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
Have a nice day!,16,4,0,0,0,0,0,0,0,0
Go back to your country,23,5,0,0,0,0,0,0,0,1
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
slut 🤡,6,2,1,0,0,0,0,1,0,0
Sleep with one eye op!n kill yourself 😂,39,8,1,0,0,1,0,0,0,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
Great job on the project!,25,5,0,0,0,0,0,0,0,0
vermin subhuman 😭,17,3,1,0,0,0,1,0,0,0
immigrant trash Go back to your country 🖕,41,8,1,0,0,0,0,0,0,1
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
Typical behavior for your gender,32,5,0,0,0,0,0,1,0,0
Your god is fake cultist,24,5,0,0,0,0,0,0,1,0
Your god is fake,16,4,0,0,0,0,0,0,1,0
heretic cultist 😂,17,3,1,0,0,0,0,0,1,0
The weather is lovely today,27,5,0,0,0,0,0,0,0,0
Go back to your country immigrant trash 🤡,41,8,1,0,0,0,0,0,0,1
